date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:41:28	303/303	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2001%20Aug%202019%2017:11:29%20GMT	http://kanakiapowaicodenamefuture.in/robots.txt		(from )
22:41:29	71916/71916	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202019%2017:11:29%20GMT	http://kanakiapowaicodenamefuture.in/	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/index.html	(from )
22:41:29	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2001%20Aug%202019%2017:11:30%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/KanakiaPixel/www.googletagmanager.com/gtm.05445.delayed	(from http://kanakiapowaicodenamefuture.in/)
22:41:30	8656/8656	---M--	200	added ('OK')	image/png	etag:%2221d0-5898d0ef9633d%22	http://kanakiapowaicodenamefuture.in/images/favicon.png	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/images/favicon.png	(from http://kanakiapowaicodenamefuture.in/)
22:41:30	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/KanakiaPixel/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://kanakiapowaicodenamefuture.in/)
22:41:30	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-5793641435863-gzip%22	http://kanakiapowaicodenamefuture.in/css/bootstrap.min.css	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/css/bootstrap.min.css	(from http://kanakiapowaicodenamefuture.in/)
22:41:31	23409/23409	---M-Z	200	added ('OK')	text/css	etag:%225b71-57936414348c3-gzip%22	http://kanakiapowaicodenamefuture.in/css/bootstrap-theme.min.css	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/css/bootstrap-theme.min.css	(from http://kanakiapowaicodenamefuture.in/)
22:41:31	22347/22347	---M-Z	200	added ('OK')	text/css	etag:%22574b-57b52210a49be-gzip%22	http://kanakiapowaicodenamefuture.in/css/style.css?v=1.0	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/css/stylec619.css	(from http://kanakiapowaicodenamefuture.in/)
22:41:31	3872/3872	---M-Z	200	added ('OK')	text/css	etag:%22f20-5801b96be25f2-gzip%22	http://kanakiapowaicodenamefuture.in/lightbox/light-box.css	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/lightbox/light-box.css	(from http://kanakiapowaicodenamefuture.in/)
22:41:32	55222/55222	---M-Z	200	added ('OK')	text/css	etag:%22d7b6-5801b96bdc832-gzip%22	http://kanakiapowaicodenamefuture.in/css/animate.min.css	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/css/animate.min.css	(from http://kanakiapowaicodenamefuture.in/)
22:41:32	4448/4448	---M-Z	200	added ('OK')	text/css	etag:%221160-5801b96bdb892-gzip%22	http://kanakiapowaicodenamefuture.in/css/amenities.css	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/css/amenities.css	(from http://kanakiapowaicodenamefuture.in/)
22:41:33	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-5801b96be3592-gzip%22	http://kanakiapowaicodenamefuture.in/owlcarousel/owl.carousel.min.css	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/owlcarousel/owl.carousel.min.css	(from http://kanakiapowaicodenamefuture.in/)
22:41:33	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-5801b96be3592-gzip%22	http://kanakiapowaicodenamefuture.in/owlcarousel/owl.theme.default.min.css	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/owlcarousel/owl.theme.default.min.css	(from http://kanakiapowaicodenamefuture.in/)
22:41:33	71916/71916	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202019%2017:11:34%20GMT	http://kanakiapowaicodenamefuture.in/index.php	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/index-2.html	(from http://kanakiapowaicodenamefuture.in/)
22:41:34	11977/11977	---M--	200	added ('OK')	image/png	etag:%222ec9-5898d0efabafd%22	http://kanakiapowaicodenamefuture.in/images/logo.png	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/images/logo.png	(from http://kanakiapowaicodenamefuture.in/)
22:41:34	5356/5356	---M--	200	added ('OK')	image/png	etag:%2214ec-5898d0ef9633d%22	http://kanakiapowaicodenamefuture.in/images/bharat-logo.png	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/images/bharat-logo.png	(from http://kanakiapowaicodenamefuture.in/)
22:41:53	106058/106058	---M--	200	added ('OK')	image/jpeg	etag:%2219e4a-58e43baec55f9%22	http://kanakiapowaicodenamefuture.in/images/slider/mobile-2.jpg	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/images/slider/mobile-2.jpg	(from http://kanakiapowaicodenamefuture.in/)
22:41:54	395/395	---M--	200	added ('OK')	image/png	etag:%2218b-5898d0ef9633d%22	http://kanakiapowaicodenamefuture.in/images/box-dot.png	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/images/box-dot.png	(from http://kanakiapowaicodenamefuture.in/)
22:41:54	1318/1318	---M--	200	added ('OK')	image/png	etag:%22526-5898d0ef9633d%22	http://kanakiapowaicodenamefuture.in/images/blueprint.png	C:/My%20Web%20Sites/KanakiaPixel/kanakiapowaicodenamefuture.in/images/blueprint.png	(from http://kanakiapowaicodenamefuture.in/)
